日期	收盘	开盘	高	低	交易量	涨跌幅
2020年8月16日	"12,075.00"	"11,900.00"	"12,082.50"	"11,900.00"	-	1.17%
2020年8月17日	"12,485.00"	"11,950.00"	"12,635.00"	"11,905.00"	8.88K	3.40%
2020年8月18日	"12,035.00"	"12,470.00"	"12,555.00"	"11,850.00"	10.62K	-3.60%
2020年8月19日	"11,690.00"	"12,100.00"	"12,150.00"	"11,580.00"	10.16K	-2.87%
2020年8月20日	"11,895.00"	"11,740.00"	"11,950.00"	"11,710.00"	4.86K	1.75%
2020年8月21日	"11,695.00"	"12,125.00"	"12,125.00"	"11,600.00"	9.66K	-1.68%
2020年8月23日	"11,815.00"	"11,955.00"	"11,960.00"	"11,810.00"	-	1.03%
2020年8月24日	"11,770.00"	"11,695.00"	"11,865.00"	"11,595.00"	7.42K	-0.38%
2020年8月25日	"11,310.00"	"11,765.00"	"11,810.00"	"11,115.00"	12.76K	-3.91%
2020年8月26日	"11,480.00"	"11,300.00"	"11,570.00"	"11,260.00"	6.64K	1.50%
2020年8月27日	"11,270.00"	"11,495.00"	"11,610.00"	"11,125.00"	9.01K	-1.83%
2020年8月28日	"11,449.10"	"11,335.00"	"11,525.00"	"11,280.00"	1.66K	1.59%
2020年8月30日	"11,870.00"	"11,792.50"	"11,877.50"	"11,657.50"	-	3.68%
2020年8月31日	"11,835.00"	"11,735.00"	"11,915.00"	"11,705.00"	4.87K	-0.29%
2020年9月1日	"12,075.00"	"11,755.00"	"12,200.00"	"11,625.00"	8.92K	2.03%
2020年9月2日	"11,460.00"	"12,135.00"	"12,175.00"	"11,165.00"	17.21K	-5.09%
2020年9月3日	"10,720.00"	"11,440.00"	"11,530.00"	"10,460.00"	15.41K	-6.46%
2020年9月4日	"10,620.00"	"10,780.00"	"10,785.00"	"9,905.00"	15.67K	-0.93%
2020年9月6日	"10,280.00"	"10,597.50"	"10,597.50"	"10,212.50"	-	-3.20%
2020年9月7日	"10,410.00"	"10,275.00"	"10,460.00"	"9,895.00"	-	1.26%
2020年9月8日	"10,015.00"	"10,425.00"	"10,475.00"	"9,890.00"	14.55K	-3.79%
2020年9月9日	"10,320.00"	"10,060.00"	"10,385.00"	"9,850.00"	5.22K	3.05%
2020年9月10日	"10,315.00"	"10,285.00"	"10,565.00"	"10,215.00"	7.86K	-0.05%
2020年9月11日	"10,340.00"	"10,370.00"	"10,420.00"	"10,215.00"	4.82K	0.24%
2020年9月13日	"10,350.00"	"10,395.00"	"10,405.00"	"10,292.50"	-	0.10%
2020年9月14日	"10,705.00"	"10,315.00"	"10,805.00"	"10,270.00"	6.53K	3.43%
2020年9月15日	"10,815.00"	"10,750.00"	"10,975.00"	"10,645.00"	4.05K	1.03%
2020年9月16日	"11,015.00"	"10,890.00"	"11,150.00"	"10,690.00"	7.06K	1.85%
2020年9月17日	"10,950.00"	"11,045.00"	"11,075.00"	"10,755.00"	7.18K	-0.59%
2020年9月18日	"10,880.00"	"10,975.00"	"11,075.00"	"10,815.00"	4.50K	-0.64%
2020年9月20日	"10,925.00"	"10,875.00"	"10,947.50"	"10,840.00"	-	0.41%
2020年9月21日	"10,485.00"	"10,885.00"	"11,005.00"	"10,265.00"	12.88K	-4.03%
2020年9月22日	"10,495.00"	"10,485.00"	"10,525.00"	"10,350.00"	4.08K	0.10%
2020年9月23日	"10,280.00"	"10,545.00"	"10,550.00"	"10,140.00"	7.72K	-2.05%
2020年9月24日	"10,670.00"	"10,240.00"	"10,750.00"	"10,190.00"	8.99K	3.79%
2020年9月25日	"10,606.80"	"10,630.00"	"10,805.00"	"10,560.00"	1.06K	-0.59%
2020年9月27日	"10,875.00"	"10,747.50"	"10,887.50"	"10,747.50"	-	2.53%
2020年9月28日	"10,960.00"	"10,800.00"	"11,080.00"	"10,795.00"	4.10K	0.78%
2020年9月29日	"10,815.00"	"10,970.00"	"10,990.00"	"10,680.00"	4.76K	-1.32%
2020年9月30日	"10,770.00"	"10,850.00"	"10,940.00"	"10,725.00"	5.67K	-0.42%
2020年10月1日	"10,645.00"	"10,835.00"	"11,060.00"	"10,430.00"	11.71K	-1.16%
2020年10月2日	"10,550.00"	"10,615.00"	"10,705.00"	"10,410.00"	5.87K	-0.89%
2020年10月4日	"10,722.50"	"10,712.50"	"10,745.00"	"10,600.00"	-	1.64%
2020年10月5日	"10,815.00"	"10,700.00"	"10,865.00"	"10,670.00"	4.46K	0.86%
2020年10月6日	"10,630.00"	"10,815.00"	"10,890.00"	"10,565.00"	4.09K	-1.71%
2020年10月7日	"10,720.00"	"10,600.00"	"10,760.00"	"10,595.00"	2.26K	0.85%
2020年10月8日	"10,955.00"	"10,735.00"	"11,065.00"	"10,580.00"	5.07K	2.19%
2020年10月9日	"11,110.00"	"10,950.00"	"11,205.00"	"10,910.00"	3.47K	1.41%
2020年10月11日	"11,475.00"	"11,112.50"	"11,502.50"	"11,112.50"	-	3.29%
2020年10月12日	"11,630.00"	"11,360.00"	"11,700.00"	"11,280.00"	6.34K	1.35%
2020年10月13日	"11,440.00"	"11,760.00"	"11,805.00"	"11,355.00"	4.17K	-1.63%
2020年10月14日	"11,410.00"	"11,500.00"	"11,630.00"	"11,340.00"	3.47K	-0.26%
2020年10月15日	"11,595.00"	"11,440.00"	"11,695.00"	"11,315.00"	3.42K	1.62%
2020年10月16日	"11,360.00"	"11,610.00"	"11,610.00"	"11,225.00"	5.37K	-2.03%
2020年10月18日	"11,565.00"	"11,480.00"	"11,585.00"	"11,480.00"	-	1.80%
2020年10月19日	"11,755.00"	"11,505.00"	"11,910.00"	"11,470.00"	6.88K	1.64%
2020年10月20日	"11,970.00"	"11,795.00"	"12,110.00"	"11,740.00"	4.06K	1.83%
2020年10月21日	"12,755.00"	"11,995.00"	"13,005.00"	"11,960.00"	10.22K	6.56%
2020年10月22日	"13,155.00"	"12,965.00"	"13,285.00"	"12,725.00"	7.37K	3.14%
2020年10月23日	"12,970.00"	"13,220.00"	"13,260.00"	"12,775.00"	3.79K	-1.41%
2020年10月25日	"13,210.00"	"13,307.50"	"13,362.50"	"13,145.00"	-	1.85%
2020年10月26日	"13,045.00"	"13,100.00"	"13,300.00"	"12,805.00"	6.03K	-1.25%
